Country or Area,"Year","Value","Value Footnotes"
Senegal,"2012","1900",""
Senegal,"2011","1800",""
Senegal,"2010","1600",""
Senegal,"2009","1500",""
Senegal,"2008","1400",""
Senegal,"2007","1300",""
Senegal,"2006","1300",""
Senegal,"2005","1700",""
Senegal,"2004","1600",""
Senegal,"2003","1400",""
Senegal,"2002","1300",""
Senegal,"2001","1300",""
Senegal,"2000","1100",""
Senegal,"1999","1000","1"
Senegal,"1998","1000","1"
Senegal,"1997","1000","1"
Senegal,"1996","1000","1"
Senegal,"1995","500","2"
Senegal,"1994","500","2"
Senegal,"1993","500","2"
Senegal,"1992","500","2"
Senegal,"1991","500","2"
Senegal,"1990","200","3"
